score,Borough,Largest Property Use Type,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Water Intensity (All Water Sources) (gal/ft²),log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²)
95,Brooklyn,Multifamily Housing,119279,1950,1,100,57.1,2.2,0.5,42.13,5.883879336,3.740760076
68,Brooklyn,Multifamily Housing,68000,1940,1,100,79.1,2.6,0.8,43.71,5.674353664,3.777576909
99,Brooklyn,Multifamily Housing,73327,1940,1,100,55.7,0.3,0.6,36.23,5.514234873,3.589887505
93,Manhattan,Office,88722,1920,1,100,51.5,7.3,,18.15,,2.898670561
60,Manhattan,Multifamily Housing,72957,2012,1,100,53.3,7.3,0.3,25.36,4.813809051,3.23317313
85,Manhattan,Office,624883,1958,1,80,77.6,14.5,0,9.32,4.065602093,2.232162629
49,Brooklyn,Multifamily Housing,70403,1890,1,100,82.1,6.6,0.6,101.75,5.574812093,4.622518824
4,Brooklyn,Multifamily Housing,102000,1960,1,100,145.6,14.6,1,82.72,6.257667588,4.415461411
88,Bronx,Multifamily Housing,95166,2010,1,100,56.7,5.3,0.4,59.86,5.311727053,4.092008502
81,Queens,Multifamily Housing,63074,1950,1,100,71.7,3.6,0.6,36.83,5.380818588,3.60631273
27,Brooklyn,Multifamily Housing,101520,2000,1,100,86,12.3,0.5,189.98,5.311727053,5.246918803
79,Brooklyn,Multifamily Housing,453758,1960,1,100,88.1,3.4,0.8,60.68,7.486276934,4.105614154
63,Brooklyn,Multifamily Housing,386700,1960,1,100,110.7,2.9,1.1,62.56,7.572502985,4.136126096
28,Manhattan,Multifamily Housing,104180,2006,1,100,89.3,7.6,0.7,93.27,5.853351245,4.535498513
4,Bronx,Multifamily Housing,111767,2009,1,100,101.6,14,0.6,68.37,5.765817866,4.224934132
43,Bronx,Multifamily Housing,110004,2006,1,100,89.6,7.9,0.7,92.78,5.853351245,4.530231099
38,Staten Island,Multifamily Housing,238368,1970,2,100,111.7,6.3,1,55.9,7.030503744,4.02356438
76,Bronx,Multifamily Housing,66000,1927,1,100,76,4,0,,5.7166987,
58,Manhattan,Office,67376,1921,1,100,124,16.8,,21.73,5.847594177,3.078693794
20,Manhattan,Multifamily Housing,154780,1963,1,100,110.5,6.1,,47.78,6.937993462,3.866607142
88,Manhattan,Retail Store,470000,1960,1,100,48.6,8.8,0.2,3.95,6.134265346,1.373715579
69,Brooklyn,Multifamily Housing,84005,1997,1,100,64.3,4,0.5,47.71,5.853351245,3.86514102
12,Queens,Multifamily Housing,61896,1962,1,100,120.3,4.4,1,114.91,5.84383423,4.744149213
18,Queens,Multifamily Housing,72904,2011,1,100,84.3,8.1,0.6,52.12,5.227894902,3.953548752
9,Manhattan,Multifamily Housing,117340,1957,1,100,105.1,9.8,0.8,46.84,6.094697802,3.846737539
88,Manhattan,Office,234846,1928,1,100,63.7,,,13.25,5.955578269,2.583997552
99,Brooklyn,Senior Care Community,83526,1931,1,100,75,7.9,0.5,,5.352331955,
99,Staten Island,Senior Care Community,502197,1930,1,100,36,11.2,,,,
35,Staten Island,Senior Care Community,129333,1992,1,100,157.1,16.9,1.1,,6.510853402,
65,Queens,Multifamily Housing,111102,1959,1,100,104.6,2.6,1,104.83,6.334699579,4.65233999
90,Queens,Senior Care Community,51723,1974,1,100,122.9,10.7,0.9,95.57,5.460436216,4.559858963
89,Manhattan,Multifamily Housing,50220,1912,1,100,83.9,3.4,0.1,59.22,5.561450566,4.081259323
46,Brooklyn,Multifamily Housing,57629,1927,1,100,78.3,4.7,0.7,54.2,5.350435321,3.992680908
63,Brooklyn,Multifamily Housing,59083,1921,1,100,86.8,3.5,0.8,,5.557214088,
40,Brooklyn,Multifamily Housing,77847,1922,1,100,75.1,6.3,0.6,75.29,5.501666291,4.321347324
56,Brooklyn,Multifamily Housing,88480,1922,1,100,85,3.6,0.8,,5.934894196,
26,Brooklyn,Multifamily Housing,60922,1921,1,100,90.9,5.4,0.8,,5.554895694,
68,Brooklyn,Multifamily Housing,63120,1927,1,100,80,3.5,0.7,87.37,5.535758223,4.470151974
22,Brooklyn,Non-Refrigerated Warehouse,67400,1960,1,100,92,10.7,0.6,2.55,5.26837349,0.936093359
79,Manhattan,Office,232133,1927,1,100,60.7,9.5,,,,
93,Bronx,Multifamily Housing,69043,1928,1,100,58.6,3.9,0,,5.512621969,
76,Manhattan,Multifamily Housing,65489,1938,1,100,77.9,3.8,0,46.18,5.828357209,3.832546804
74,Bronx,Multifamily Housing,66678,1931,1,100,34.5,10.7,,108.69,,4.688499794
19,Manhattan,Multifamily Housing,53977,1920,1,100,84.5,4.9,0.7,,5.404027821,
49,Queens,Multifamily Housing,744719,1974,1,100,83.3,5.2,0.7,76.96,7.993248555,4.343285806
65,Manhattan,Office,479620,1914,1,100,79.2,17.2,0.1,,6.573121352,
51,Manhattan,Residence Hall/Dormitory,247615,1973,1,100,92.5,12.7,0.5,49.21,6.466300233,3.896096855
13,Bronx,Multifamily Housing,57800,1958,1,100,79.9,10.2,0.4,69.11,4.954417614,4.235699438
5,Manhattan,Hotel,269346,1990,1,100,64.7,15.9,0.1,72.31,4.9698133,4.280962432
44,Manhattan,Hotel,84500,1990,1,100,145.9,12.7,1.1,117.25,5.987456526,4.764308407
48,Manhattan,Hotel,441516,1998,1,100,83.6,14.2,0,,0.693147181,
22,Manhattan,Hotel,1800000,1985,1,100,139.9,21,0.7,54.97,8.797775117,4.006787582
27,Brooklyn,Hotel,212087,1998,1,100,150.3,12.6,0.2,48.75,6.537126286,3.886705197
43,Manhattan,Hotel,406261,1924,1,100,127.4,15.4,0.8,66.93,7.388451538,4.203647297
77,Brooklyn,Multifamily Housing,77224,1926,1,100,72.6,2.5,0.6,70.81,5.723258251,4.260000234
31,Brooklyn,Residence Hall/Dormitory,86763,1975,1,100,90.7,16.7,0.4,146.93,5.344723739,4.989956283
57,Queens,Multifamily Housing,88600,1951,1,100,83.9,3.9,0.8,,5.87239944,
100,Bronx,Multifamily Housing,87413,1927,1,100,30.3,3.7,0.2,,4.528289142,
54,Manhattan,Office,686603,1926,1,100,124,18.1,0.3,46.79,7.896961844,3.845669505
7,Queens,Non-Refrigerated Warehouse,56700,1952,1,100,45.8,13.4,,22.38,,3.108167703
42,Bronx,Multifamily Housing,80889,1933,1,100,87.3,4.4,0.7,139.09,5.734958092,4.935121206
100,Bronx,Office,537765,1969,1,100,26.8,0.4,0.2,15.69,6.707106805,2.753023567
100,Bronx,Office,435020,1969,1,100,26.8,0.4,0.2,,6.495114487,
100,Bronx,Multifamily Housing,13540113,1969,1,100,26.8,0.4,0.2,,9.933138584,
100,Bronx,Multifamily Housing,5541031,1969,1,100,26.8,0.4,0.2,,9.039658807,
100,Bronx,Office,296715,1969,1,100,26.8,0.4,0.2,,6.112575373,
100,Bronx,Office,296715,1969,1,100,26.8,0.4,0.2,0.1,6.112575373,-2.302585093
19,Bronx,Multifamily Housing,67500,1965,1,100,102.9,6.8,0.8,,5.750029726,
100,Bronx,Multifamily Housing,66258,1928,1,100,21.1,,,,2.701361213,
83,Brooklyn,Multifamily Housing,78666,1940,1,100,79,3,0.7,72.72,5.757954954,4.28661645
86,Bronx,Multifamily Housing,289000,1962,1,100,57.7,4.3,0.4,,6.479123893,
100,Queens,Multifamily Housing,59580,1961,1,100,51.1,0.6,0.5,39.21,5.101085197,3.668931816
95,Queens,Multifamily Housing,65816,1960,1,100,45.8,4.7,0.3,39.61,4.694096395,3.679081612
31,Manhattan,Multifamily Housing,176887,1941,1,100,72.2,6.6,,26.24,6.481730257,3.267284964
69,Manhattan,Multifamily Housing,72296,1942,1,100,70.3,5.2,0.6,36.91,5.298817242,3.608482517
75,Manhattan,Multifamily Housing,60070,1926,1,100,85,3.6,0.8,58.35,5.650030019,4.066459359
35,Queens,K-12 School,59673,1973,1,100,46.5,11.7,0.1,,3.481240089,
95,Queens,Multifamily Housing,70590,1929,1,100,85.2,0.8,0.1,7.56,6.057954288,2.02287119
10,Manhattan,Multifamily Housing,94759,2008,1,100,130.8,5.9,1.1,306.24,6.243972707,5.724369108
1,Manhattan,Multifamily Housing,74052,1985,1,100,105.1,12.7,0,69.9,5.855071922,4.247065649
61,Queens,Office,178870,2002,1,100,64.3,13.7,0.2,0.81,5.123963979,-0.210721031
78,Queens,Non-Refrigerated Warehouse,107762,2002,1,100,29,8.3,,9.6,1.029619417,2.261763098
16,Queens,Non-Refrigerated Warehouse,97721,2002,1,100,72.2,10.7,,12.3,5.222515653,2.509599262
92,Queens,Non-Refrigerated Warehouse,61600,1988,1,100,32,,,,4.738826571,
64,Brooklyn,Multifamily Housing,60697,2007,1,100,34.1,8,0.1,32.22,3.000719815,3.472587378
43,Bronx,Senior Care Community,193856,1989,2,100,108.6,12.7,0.6,47.25,6.629495345,3.855452654
99,Manhattan,Office,57729,1895,1,100,31.2,5.8,,33.45,4.166665224,3.510051787
94,Manhattan,Multifamily Housing,144000,2003,1,100,61.4,3,0.6,37.78,6.009795504,3.631779862
18,Manhattan,Multifamily Housing,55458,1905,1,100,99.3,3.8,0,60.16,5.876614705,4.09700768
64,Manhattan,Office,66500,1910,1,100,68,,,,4.799090879,
76,Queens,Office,89902,1985,1,100,72.8,9.1,0.5,66.42,4.952299717,4.195998216
34,Brooklyn,Multifamily Housing,152200,1959,1,100,89.6,5,0.1,86.25,6.800949275,4.457250056
8,Queens,Multifamily Housing,52801,1948,1,100,74.2,3.5,0.7,81.23,5.263208189,4.397284637
39,Manhattan,Multifamily Housing,99911,1906,1,100,66.4,4.5,0.5,43.61,5.769882276,3.775286482
15,Brooklyn,Multifamily Housing,54528,1900,1,100,85.5,11.3,0.5,32.78,5.033048889,3.489818573
38,Queens,Multifamily Housing,57269,1960,1,100,90.4,4.5,0.8,48.18,5.484796933,3.874943997
56,Queens,Multifamily Housing,99390,2006,1,100,78.2,8.1,0.5,42.48,5.507361993,3.749033377
34,Queens,Hotel,63839,2007,1,100,111.5,,,51,5.12455904,3.931825633
72,Queens,Multifamily Housing,90180,1932,1,100,90.9,,,96.64,6.102334856,4.570992734
98,Manhattan,Office,193813,1930,1,90,175,49.6,0.1,8.43,4.157319361,2.131796772
54,Manhattan,Multifamily Housing,503000,1982,1,100,47.5,7.8,0.2,,6.392084604,
78,Manhattan,Multifamily Housing,95919,1907,1,100,67.5,6.6,0.5,,5.283203729,
96,Queens,Multifamily Housing,134259,1983,1,100,69.2,2.1,0.6,124.28,6.166467723,4.822537085
2,Brooklyn,Worship Facility,130000,1927,1,100,98,20.9,0.3,0,5.173320876,
63,Manhattan,Hotel,204122,1899,1,100,70.4,17.9,0.1,0.78,4.604169686,-0.248461359
44,Manhattan,Multifamily Housing,51456,1904,1,100,77.5,4.6,,2.91,5.462983988,1.068153081
57,Queens,Hotel,52172,1990,1,100,58.4,11.6,0.2,75.32,4.182050143,4.321745704
46,Bronx,Multifamily Housing,73692,1935,1,100,103.9,4.3,0.4,124.3,6.053029903,4.822697999
66,Bronx,Multifamily Housing,53744,1935,1,100,89.3,4.9,0.8,135.18,5.331752143,4.906607224
77,Bronx,Multifamily Housing,52758,1932,1,100,79.1,3.8,0.7,84.29,5.216022124,4.434263234
45,Brooklyn,Multifamily Housing,51089,1930,1,100,114.1,3.5,0.1,90.69,5.954022252,4.507447097
40,Manhattan,K-12 School,81254,1920,1,100,87.3,8.1,0.6,,5.327876169,
61,Manhattan,Office,402110,2009,1,100,102.4,20.8,,0,,
92,Queens,Multifamily Housing,73280,1952,1,100,94.6,0.5,0.9,91.01,5.918356075,4.510969391
33,Manhattan,Hotel,71250,1910,1,100,60.2,17,0,,1.386294361,
63,Brooklyn,Multifamily Housing,62320,1960,1,100,75,3.3,0.7,13.42,5.44802964,2.596746132
57,Bronx,Multifamily Housing,53010,1927,1,100,91.4,4,0.1,483.63,5.798789578,6.181320152
90,Manhattan,Multifamily Housing,138815,1928,1,100,68.1,2,0.7,,5.946205641,
3,Brooklyn,Non-Refrigerated Warehouse,67500,1962,1,100,85.5,13.8,0.5,2.54,4.973279508,0.932164081
94,Manhattan,Office,68808,1908,1,100,85.8,,,33.72,5.635860458,3.518091133
24,Bronx,Multifamily Housing,67018,1927,1,100,97,5.2,0.8,185.44,5.642616039,5.22273138
11,Bronx,Multifamily Housing,54000,1929,1,100,123.1,4.5,0.1,,6.048789614,
21,Bronx,Multifamily Housing,70500,1939,1,100,105.9,4.3,0.9,,5.831882477,
14,Queens,Distribution Center,105000,1939,1,100,62.1,11.3,0.3,1.59,4.910446567,0.463734016
100,Brooklyn,Worship Facility,65500,1920,1,100,3.7,1.1,0,595.68,-1.609437912,6.38970361
13,Brooklyn,Multifamily Housing,51276,2012,1,100,88.5,10.6,0.6,23.59,4.951592753,3.160822893
79,Manhattan,Multifamily Housing,100316,1931,1,100,78.5,4.2,,43.04,6.228905403,3.762129916
74,Queens,Multifamily Housing,52300,1959,1,100,82.9,4.8,0.7,107.77,5.161351511,4.679999327
100,Brooklyn,Multifamily Housing,61565,2009,1,100,30,2.1,0.2,69.28,4.14472077,4.238156264
9,Bronx,Senior Care Community,120000,2000,1,100,133.1,12.9,0.9,51.23,6.634239062,3.936325298
94,Brooklyn,Non-Refrigerated Warehouse,71543,1931,1,100,20.7,,,10.81,4.252771799,2.380471632
33,Manhattan,Hotel,325216,2000,1,100,133.1,16.3,0.1,70.98,4.447346101,4.262398147
97,Bronx,Multifamily Housing,94050,1986,1,100,54.6,4.7,0.4,55.41,5.243861181,4.014760083
81,Manhattan,Hotel,399325,1931,1,100,90.8,7.4,0.4,59.21,7.569979227,4.081090447
41,Bronx,Senior Care Community,92065,1920,1,100,127.1,19.1,,57.23,6.015669236,4.047078236
90,Manhattan,Multifamily Housing,50868,1911,1,100,84,1.4,0.9,63.62,5.366910158,4.152927886
100,Bronx,Office,52496,1930,1,100,5.4,1.6,,,,
61,Brooklyn,Non-Refrigerated Warehouse,64200,1910,1,100,57.3,,,62.41,5.40222683,4.133725519
95,Queens,Multifamily Housing,55146,1953,1,100,52.7,4.9,0,,4.964242255,
5,Bronx,Multifamily Housing,54000,1929,1,100,132.9,5.6,0.1,87.02,6.031406154,4.466137977
83,Brooklyn,Multifamily Housing,144054,1962,1,100,75.2,4,,,6.144185634,
68,Queens,K-12 School,107867,1955,1,100,44.2,,,10.79,6.033326001,2.378619779
100,Bronx,Non-Refrigerated Warehouse,128000,1931,1,100,1.4,,,13.23,1.589235205,2.582486978
100,Manhattan,Office,106453,1892,1,100,11.5,,,5.08,4.043051268,1.625311262
100,Bronx,Multifamily Housing,97387,1947,1,100,51.4,0.5,0.5,0.78,5.551407994,-0.248461359
19,Staten Island,Multifamily Housing,58792,2005,1,100,118.2,4.8,1,19.81,5.903725633,2.986186861
100,Bronx,Multifamily Housing,52200,1927,1,100,23.4,4.2,0.1,151.44,3.161246712,5.020189507
100,Bronx,Multifamily Housing,50748,1931,1,100,25.2,5.3,0.1,1313.68,2.890371758,7.180587638
100,Bronx,Multifamily Housing,75630,1931,1,100,18.4,3.5,0.1,,3.165475048,
100,Bronx,Multifamily Housing,90971,1940,1,100,24,4.6,0.1,127.88,3.616308761,4.851092324
83,Manhattan,Office,756138,1961,1,95,99.9,23.8,,,,
100,Bronx,Multifamily Housing,54150,1929,1,100,14,0.8,0,11.59,5.213303992,2.450142657
11,Manhattan,Multifamily Housing,631862,2008,2,100,115.1,18,0.6,56.45,7.20355432,4.033355291
70,Manhattan,Office,72039,1908,1,100,93.7,10,0.3,74.15,5.599162426,4.306090069
93,Manhattan,Senior Care Community,236300,1940,1,100,108.8,11.3,0.1,108.95,7.093570725,4.690889061
100,Bronx,Parking,407619,2009,1,100,16.2,4.3,0,,3.958906591,
69,Staten Island,Office,80000,2002,1,100,81.6,13.6,0.4,8.58,5.036952602,2.149433913
76,Brooklyn,Multifamily Housing,89420,1987,1,100,60.4,6.1,0.4,34.58,5.194067345,3.54327548
62,Brooklyn,Residence Hall/Dormitory,58027,2007,1,100,66.2,12.5,0.3,104.88,4.342505877,4.652816839
54,Queens,Distribution Center,83550,1963,1,100,46.5,0.4,0.2,5.5,4.868303386,1.704748092
62,Staten Island,Hotel,74107,2006,1,100,55.9,12.1,0.2,47.2,4.080921542,3.854393893
20,Staten Island,Hotel,182594,2001,1,100,147.9,18.3,0.9,59.72,6.729704589,4.089666973
100,Bronx,Multifamily Housing,101178,1928,1,100,44,2.7,0.4,3068.14,5.389984555,8.028826794
100,Brooklyn,Office,134150,1917,1,100,4.9,0.1,0,,3.55820113,
52,Manhattan,Multifamily Housing,146093,2010,1,100,57.7,9.4,0.3,,5.262690189,
46,Bronx,Office,58566,1972,1,100,82.8,19.9,0.2,22.08,3.793239469,3.094672221
18,Bronx,Office,538584,1966,1,100,159.8,28.3,0.7,,6.627776791,
39,Brooklyn,Multifamily Housing,119662,1953,1,100,81,5.2,0.7,55.13,5.989212012,4.009694033
90,Brooklyn,Multifamily Housing,138675,1991,1,100,76.2,1.9,0.7,56.97,6.064715009,4.042524813
89,Manhattan,Office,918240,1958,1,100,68.9,12.3,,20.44,,3.017493765
100,Bronx,Non-Refrigerated Warehouse,92000,1977,1,100,4.7,0.9,0,2.94,2.674148649,1.078409581
44,Brooklyn,Multifamily Housing,58590,2009,1,100,60.1,9.5,0.3,35.22,4.544358047,3.561614103
71,Queens,Distribution Center,64920,1963,1,100,24.6,3.5,0.1,3.01,3.740047741,1.101940079
100,Manhattan,Multifamily Housing,59274,1922,1,100,18.4,3.9,0,86.87,2.687847494,4.464412748
100,Manhattan,Multifamily Housing,89540,1930,1,100,16.6,3.4,0,66.68,3.246490992,4.199905058
53,Manhattan,Office,62135,1924,1,100,109.2,14.5,0.1,,5.630135934,
79,Manhattan,Multifamily Housing,83402,1949,1,100,86.5,3.4,0,36.2,6.175451383,3.589059119
3,Manhattan,Multifamily Housing,68108,1920,1,100,187.6,3.3,1,,6.656726524,
37,Manhattan,Multifamily Housing,68108,1928,1,100,117.4,3.8,1.1,143.12,5.979138897,4.963683439
96,Manhattan,Multifamily Housing,154800,1917,1,100,46.3,3.1,0.4,21.06,5.71899944,3.047375507
93,Manhattan,Multifamily Housing,59274,1923,1,100,73.8,3,0,35.51,5.623295224,3.569814347
10,Manhattan,Multifamily Housing,59274,1923,1,100,154.3,4.7,0,43.02,6.450944244,3.761665124
73,Manhattan,Multifamily Housing,56628,1910,1,100,92.1,3.9,0,187.43,5.833347679,5.233405442
78,Manhattan,Multifamily Housing,83471,1909,1,100,87.7,4.4,0.8,67.69,5.820972742,4.214938459
100,Manhattan,Multifamily Housing,83519,1909,1,100,39.8,4.6,0.2,55.46,4.664382046,4.01566204
71,Manhattan,Multifamily Housing,52446,1930,1,100,93.6,4.1,0,56.21,5.780743516,4.029094677
83,Manhattan,Multifamily Housing,115223,1963,1,100,92.2,4.2,0,,6.501139509,
64,Bronx,Multifamily Housing,70163,1960,1,100,37.2,11.5,,46.4,,3.837299459
26,Manhattan,Multifamily Housing,64434,1940,1,100,120.3,3.3,1.2,,6.012736682,
51,Bronx,Multifamily Housing,78000,1936,1,100,89.8,4.6,0.8,,5.720967299,
36,Brooklyn,Multifamily Housing,60930,1924,1,100,100.4,4,0.9,15.77,5.635860458,2.758109401
45,Brooklyn,Multifamily Housing,66140,1924,1,100,96.6,3.4,0.9,77.64,5.694068782,4.352082758
80,Brooklyn,Multifamily Housing,89894,2010,1,100,45.5,8.8,0.2,25.15,4.393213824,3.224857897
3,Manhattan,Hotel,54959,1999,1,100,176.9,27,0.9,108.12,5.549465114,4.683241721
73,Manhattan,Hotel,68500,1931,1,100,130.7,15.5,0,158.25,5.990213765,5.064176061
89,Manhattan,Hotel,78415,1915,1,100,118.2,9.1,0.9,,5.945420609,
81,Brooklyn,Multifamily Housing,77120,1932,1,100,98,10.4,0.7,,5.593595516,
63,Queens,Worship Facility,54210,1929,1,100,36.1,,,,4.496470769,
70,Staten Island,Multifamily Housing,180775,1985,1,100,66,,,,6.298397624,
89,Brooklyn,Multifamily Housing,54000,1910,1,100,39.9,,,38.52,4.003690194,3.651177587
79,Queens,Multifamily Housing,395940,1958,1,100,76.4,4.5,0.7,39.2,7.193385247,3.668676747
96,Manhattan,Multifamily Housing,63264,1926,1,100,58.3,3.5,0.5,45.37,5.18178355,3.814851094
20,Manhattan,Office,128000,1882,1,100,140,25.2,0.5,83.94,6.121395717,4.430102258
3,Manhattan,Multifamily Housing,322852,1984,1,100,154.8,14,0,,2.525728644,
89,Brooklyn,Multifamily Housing,79524,1940,1,100,26,8,,53.76,,3.984529696
34,Bronx,Senior Care Community,74400,1972,1,100,169.4,14.1,1.3,127.09,6.163735768,4.844895497
3,Manhattan,Multifamily Housing,239185,2000,1,100,104.5,16.2,0.5,56.05,6.274385302,4.02624415
13,Manhattan,Non-Refrigerated Warehouse,217350,1890,1,50,36.9,7.7,0.1,3.34,4.874433673,1.205970807
52,Bronx,Multifamily Housing,65000,1926,1,100,101.3,3.7,,,6.166887362,
78,Bronx,Multifamily Housing,54000,1923,1,100,77.5,3.7,,,5.642970335,
51,Bronx,Multifamily Housing,92400,1927,1,100,90,3.9,,102.1,6.354370041,4.625952725
71,Brooklyn,Multifamily Housing,57105,2000,1,100,33.9,9.9,,65.22,,4.17776617
32,Manhattan,Hotel,159996,1959,1,100,176,,,114.09,6.681481835,4.736987611
57,Bronx,Multifamily Housing,239712,1980,1,100,75.3,5.4,0.6,,6.576887309,
21,Manhattan,Multifamily Housing,109022,1913,1,100,116.4,4,0.1,223.9,6.688977185,5.411199524
54,Manhattan,Multifamily Housing,53034,1920,1,100,94.4,4.3,0,98.45,5.750347944,4.589548805
62,Manhattan,Multifamily Housing,69000,1912,1,100,84.7,4.4,0.7,71.61,5.537334267,4.271234729
53,Manhattan,Multifamily Housing,58008,1930,1,100,100,4.4,0,58.95,5.896879105,4.076689627
41,Manhattan,Multifamily Housing,51070,1927,1,100,127.1,5,0,111.61,6.035242169,4.715010652
77,Manhattan,Office,183449,1902,1,100,100.6,15.4,0.1,10,6.465366817,2.302585093
72,Manhattan,Office,1116774,1915,1,100,59.3,14.8,,,,
31,Bronx,Senior Care Community,67000,1973,1,100,118.8,12.5,0.8,100.77,5.732693818,4.612840692
56,Manhattan,Multifamily Housing,65048,1960,1,100,86.6,6.6,0.7,66.3,5.393627546,4.194189897
55,Bronx,Multifamily Housing,69145,1924,1,100,102.2,3.8,0,157.81,6.26053703,5.061391778
2,Manhattan,Multifamily Housing,74946,1986,1,100,104.3,11.6,0.7,44.4,5.538907831,3.793239469
87,Brooklyn,Multifamily Housing,62292,2006,1,100,50.4,7,0.3,43.7,4.423648309,3.777348102
57,Manhattan,Multifamily Housing,50916,2009,1,100,63.6,7.4,0.4,31.07,4.650143552,3.436242723
60,Manhattan,Multifamily Housing,60290,2006,1,100,63.4,7,0.4,,4.776599302,
64,Bronx,Multifamily Housing,62685,2008,1,100,88.3,5.1,0.8,,5.516247351,
97,Bronx,Multifamily Housing,81880,1941,1,100,57.8,,,,5.378052335,
99,Bronx,Multifamily Housing,63966,1960,1,100,61.9,1.4,0.1,147.03,5.675383,4.990636648
32,Manhattan,Multifamily Housing,392397,1960,1,100,110.9,12.9,0,,4.423648309,
14,Brooklyn,Multifamily Housing,51796,1927,1,100,91.9,7.8,0.7,84.79,5.176714545,4.440177611
70,Manhattan,Multifamily Housing,169438,2001,1,100,66.1,3.3,,71.92,6.270610289,4.27555439
6,Manhattan,Multifamily Housing,238180,1962,1,100,111.2,6.6,0.9,41.18,7.008595594,3.717952702
35,Bronx,Multifamily Housing,88463,1960,1,100,106.2,6,0.9,121.7,6.001167323,4.801559
19,Manhattan,Multifamily Housing,283000,1980,2,100,89.6,7.5,0,,4.446174454,
57,Brooklyn,Multifamily Housing,113700,1950,32,100,112.8,3.3,0.9,,6.579667792,
88,Queens,Multifamily Housing,290112,1952,8,100,43.7,5.7,0.2,,5.956096403,
12,Queens,Multifamily Housing,145056,1952,4,100,65.3,12.4,0.2,,5.202907182,
29,Bronx,Retail Store,50800,1930,1,100,86.6,,,,2.341805806,
99,Queens,Multifamily Housing,217584,1952,6,100,25.5,4.9,0.1,,4.624972813,
67,Queens,Multifamily Housing,167856,1952,4,100,49.5,7.4,0.3,,5.263208189,
56,Brooklyn,Multifamily Housing,52800,1953,1,100,87.9,,,74.46,5.371567828,4.310262068
30,Bronx,Multifamily Housing,55084,1925,1,100,118.7,4.4,0.1,138.03,6.1459009,4.927471053
30,Bronx,Multifamily Housing,67248,1925,1,100,115,4,0.1,,6.329720906,
38,Manhattan,Multifamily Housing,115462,1960,1,100,75,7.5,0.5,41.71,5.716040372,3.730740908
9,Manhattan,Multifamily Housing,319910,1982,1,100,116.5,17.8,0.1,,4.496470769,
1,Queens,K-12 School,182842,2009,1,100,149.6,33.8,0.4,,5.394990254,
16,Manhattan,Multifamily Housing,928915,2006,1,100,102.4,16.6,0.5,,7.540302837,
92,Manhattan,Multifamily Housing,121713,2007,1,100,66.3,4,0.5,31.53,5.826295049,3.450939474
36,Brooklyn,Multifamily Housing,94200,2007,1,100,73.2,11.6,0.4,46.85,5.077670695,3.846951009
58,Staten Island,Multifamily Housing,62160,1966,1,100,101,2.9,0.1,9.6,6.73459166,2.261763098
5,Manhattan,Hotel,314509,1927,1,100,133.2,13.7,0,80.12,1.029619417,4.383525511
96,Brooklyn,Multifamily Housing,50808,1926,1,100,88.3,0.1,,97.21,5.79331844,4.576873587
37,Queens,Multifamily Housing,58334,2001,1,100,94.5,7.8,0.7,106.21,5.222515653,4.665418266
53,Manhattan,Multifamily Housing,349342,1931,1,100,67.3,4.3,0.6,32.52,6.870676271,3.481855285
100,Queens,Multifamily Housing,164160,1988,1,100,29.1,2,0.2,81.29,4.841822087,4.398023008
76,Queens,Multifamily Housing,74032,2005,1,100,45,5.3,0.3,47.02,4.632785353,3.850573043
4,Manhattan,Multifamily Housing,92418,1931,1,100,79.8,14,0.4,48.8,5.060060177,3.887730313
56,Bronx,Multifamily Housing,112536,1985,1,100,72.5,4.8,0.6,63.63,5.972791282,4.153085057
100,Queens,Multifamily Housing,130500,1962,1,100,25.5,4.3,0.1,109.31,4.25561271,4.694187882
100,Queens,Multifamily Housing,263883,1966,1,100,21.2,5.3,0,32.72,2.564949357,3.487986512
100,Queens,Multifamily Housing,263883,1966,1,100,17.2,4.3,0,41.65,2.272125886,3.729301369
90,Brooklyn,Multifamily Housing,54000,1926,1,100,66.3,2.6,0.6,60.89,5.242804657,4.109068958
93,Queens,Multifamily Housing,263883,1966,1,100,25.9,6.7,0,48.05,2.687847494,3.872242135
79,Queens,Non-Refrigerated Warehouse,114000,1930,1,100,32.6,2.1,,9.74,5.176714545,2.276241118
28,Manhattan,Multifamily Housing,184245,1963,1,100,85.4,7.3,0.4,35.81,6.520621128,3.578227184
88,Queens,Multifamily Housing,55553,1939,1,100,77,3,,68.41,5.766444236,4.225519013
83,Brooklyn,Retail Store,74800,1925,1,100,49.5,4,0.4,,5.027164596,
95,Staten Island,Multifamily Housing,550010,1962,1,100,89,,0.9,,7.969565261,
97,Manhattan,Office,112146,1918,1,100,47.9,6.6,0.3,,4.989071116,
46,Brooklyn,Senior Care Community,156840,1960,1,100,155,12.9,1.2,,6.915028763,
29,Brooklyn,Multifamily Housing,77187,2005,1,100,78.8,6.3,0.6,,5.44932024,
97,Manhattan,Office,362191,1909,1,100,31.4,8.1,,14.02,4.622027303,2.640484882
76,Manhattan,Multifamily Housing,73272,1920,1,100,79.4,3.7,0,,5.881649681,
